Date,Slot,Subject,B24AD1090,B24AD1091,B24AD1092,B24AD1093,B24AD1094,B24AD1095,B24AD1096,B24AD1097,B24AD1098,B24AD1099,B24AD1100,B24AD1101,B24AD1102,B24AD1103,B24AD1104,B24AD1105,B24AD1106,B24AD1107,B24AD1108,B24AD1109,B24AD1110,B24AD1111,B24AD1112,B24AD1113,B24AD1114,B24AD1115,B24AD1116
2026-01-23,10:30-12:30,DSA (L),A,P,P,P,P,A,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P
2026-01-23,13:15-15:15,DBMS (L),P,P,P,P,P,A,P,A,A,P,P,P,P,A,P,P,P,P,P,P,P,A,P,A,P,A,P
2026-01-26,08:00-09:00,DBMS (T),P,A,P,P,P,P,A,A,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P
2026-01-26,09:00-10:00,DSA (T),A,P,P,P,P,P,A,A,P,A,P,A,A,P,P,P,P,P,P,P,P,A,P,P,A,P,P
2026-01-26,10:30-12:30,DBMS (L),P,P,A,P,P,P,P,P,A,P,P,A,P,P,P,P,A,P,P,P,A,P,P,P,A,P,A
2026-01-26,13:15-15:15,EDI (L),A,P,P,A,P,A,P,P,A,P,A,P,P,P,P,P,P,A,A,P,P,A,P,P,P,P,P
2026-01-27,08:00-09:00,DSA (T),P,A,P,A,P,P,P,P,P,P,A,A,P,A,P,P,P,P,P,A,P,P,P,A,P,P,P
2026-01-27,09:00-10:00,AS (T),P,A,P,P,P,P,A,P,A,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P
2026-01-27,10:30-12:30,DSA (L),A,P,P,P,P,P,A,P,P,P,P,A,P,A,P,P,A,A,P,P,P,A,P,A,P,P,P
2026-01-27,13:15-15:15,MLCT (L),P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,A,P,A,P,P,P
2026-01-28,08:00-09:00,AS (T),P,P,P,P,P,P,P,P,P,A,A,P,A,A,P,P,A,P,P,P,P,A,P,P,P,A,P
2026-01-28,09:00-10:00,DBMS (T),P,P,P,P,P,A,A,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A,P,P,A,P,P
2026-01-28,10:30-12:30,EDI (L),A,P,P,P,P,P,A,P,P,A,P,P,A,A,P,P,P,A,P,P,P,P,P,A,P,P,P
2026-01-28,13:15-15:15,DBMS (L),P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,A,A,P,P,P,P,A,P,P,P,A,A
2026-01-29,08:00-09:00,DSA (T),P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,A,A,P,P,P,P,A
2026-01-29,09:00-10:00,AS (T),P,P,A,P,P,P,A,A,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,A,P
2026-01-29,10:30-12:30,CTC (L),A,A,A,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P
2026-01-29,13:15-15:15,DSA (L),P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,A,P,P,A,P,A,A,A,P,P,P,P
2026-01-30,08:00-09:00,DBMS (T),A,P,P,A,A,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,A,P,P,P,P
2026-01-30,09:00-10:00,DSA (T),P,A,P,P,P,A,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,A,P,P,A,P
2026-01-30,10:30-12:30,DSA (L),P,P,P,A,A,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P,A,P,P,P,A,P
2026-01-30,13:15-15:15,DBMS (L),P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,A,A,P,A,P,P,P,A,A,P,P
2026-02-02,08:00-09:00,DBMS (T),P,P,P,P,P,A,P,A,A,P,P,P,P,P,A,A,P,P,P,P,A,P,A,A,P,P,P
2026-02-02,09:00-10:00,DSA (T),P,P,A,P,P,P,P,A,A,A,P,P,P,P,A,P,P,P,P,P,A,P,P,P,A,A,P
2026-02-02,10:30-12:30,DBMS (L),P,P,A,P,A,P,P,A,P,P,A,P,A,P,P,P,P,A,P,P,P,P,P,A,P,P,P
2026-02-02,13:15-15:15,EDI (L),P,P,A,P,P,P,A,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,A,A,P,P,P
2026-02-03,08:00-09:00,DSA (T),A,A,P,P,P,P,A,P,P,P,P,P,A,A,P,P,P,P,A,P,P,A,P,P,P,P,A
2026-02-03,09:00-10:00,AS (T),A,P,P,P,P,P,P,P,P,A,P,A,A,A,P,A,P,A,P,P,A,P,P,P,P,P,P
2026-02-03,10:30-12:30,DSA (L),A,P,P,P,P,P,P,A,A,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,A
2026-02-03,13:15-15:15,MLCT (L),P,P,P,P,A,A,P,P,P,P,A,P,A,P,A,P,P,P,P,A,P,A,P,P,P,A,P
2026-02-04,08:00-09:00,AS (T),A,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,A,P,P,P,P,P
2026-02-04,09:00-10:00,DBMS (T),P,A,P,P,A,A,A,P,A,P,A,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P
2026-02-04,10:30-12:30,EDI (L),P,P,A,P,P,P,P,P,A,P,A,P,A,A,P,P,P,P,P,P,P,P,A,P,A,P,A
2026-02-04,13:15-15:15,DBMS (L),A,A,A,P,P,P,P,A,P,P,P,A,P,P,P,P,P,A,P,P,A,P,P,A,P,P,P
2026-02-05,08:00-09:00,DSA (T),A,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A
2026-02-05,09:00-10:00,AS (T),P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,A,P,P,P,A,P,A,P,P,P,P,P
2026-02-05,10:30-12:30,CTC (L),P,P,P,P,P,P,A,P,A,P,P,P,P,P,A,P,P,P,A,P,P,P,A,P,P,P,P
2026-02-05,13:15-15:15,DSA (L),P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,A,P,A,A
2026-02-06,08:00-09:00,DBMS (T),A,P,P,A,P,P,P,P,P,A,P,P,A,P,P,P,P,P,A,P,P,A,P,P,P,A,P
2026-02-06,09:00-10:00,DSA (T),P,P,A,A,P,P,A,A,P,P,P,P,P,P,P,P,P,P,A,P,A,P,A,P,P,P,A
2026-02-06,10:30-12:30,DSA (L),P,A,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,A,A,A,P,A,P,P,P,P,P
2026-02-06,13:15-15:15,DBMS (L),A,P,A,P,P,P,P,P,P,P,A,A,P,A,P,P,A,P,P,P,A,A,P,P,P,P,P
2026-02-09,08:00-09:00,DBMS (T),P,P,P,A,A,A,P,P,P,P,P,A,P,A,A,P,P,P,P,P,A,P,P,P,P,A,P
2026-02-09,09:00-10:00,DSA (T),P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,A,P,A,A,A,P,P,P,P,P,A,P
2026-02-09,10:30-12:30,DBMS (L),P,P,A,P,P,P,P,A,A,P,A,P,P,P,A,P,P,P,P,P,P,P,A,P,P,A,P
2026-02-09,13:15-15:15,EDI (L),A,P,P,P,P,A,A,P,P,P,A,A,P,P,P,A,P,P,P,P,P,P,P,P,A,P,A
2026-02-10,08:00-09:00,DSA (T),A,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,A,P,A,P,P,A,P,P,A,P
2026-02-10,09:00-10:00,AS (T),P,P,A,P,P,P,P,A,P,P,P,P,P,A,P,A,P,A,P,P,P,P,P,A,P,P,P
2026-02-10,10:30-12:30,DSA (L),P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,A,P,A,P,P,A,A
2026-02-10,13:15-15:15,MLCT (L),P,P,A,P,P,P,P,A,P,A,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P
2026-02-11,08:00-09:00,AS (T),P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,A,P,A,A,P,P,A,P,P,P,P,P
2026-02-11,09:00-10:00,DBMS (T),P,P,P,P,P,P,P,P,A,P,A,A,P,A,A,P,P,A,P,P,P,P,P,A,P,P,P
2026-02-11,10:30-12:30,EDI (L),P,P,P,A,P,P,A,A,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P
2026-02-11,13:15-15:15,DBMS (L),P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,A,P,P,A,P,P,P,P,A,P,P,A
2026-02-12,08:00-09:00,DSA (T),P,P,P,A,P,A,A,A,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P
2026-02-12,09:00-10:00,AS (T),P,A,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P
2026-02-12,10:30-12:30,CTC (L),P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,A,P,A,P,P,P,P
2026-02-12,13:15-15:15,DSA (L),A,P,P,A,P,P,P,P,P,A,A,P,P,P,A,A,P,P,A,P,P,P,A,P,P,P,P
2026-02-13,08:00-09:00,DBMS (T),P,A,A,A,P,P,P,P,A,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P
2026-02-13,09:00-10:00,DSA (T),P,A,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,A,P,A,P,A,P
2026-02-13,10:30-12:30,DSA (L),P,P,A,A,P,P,P,A,P,P,P,P,P,A,P,P,P,A,P,A,P,A,P,P,P,P,P
2026-02-13,13:15-15:15,DBMS (L),P,P,P,P,P,P,P,P,P,A,P,P,A,P,A,P,A,P,P,P,P,P,P,A,A,P,P
2026-02-16,08:00-09:00,DBMS (T),P,A,P,A,P,P,A,P,P,A,P,P,P,P,P,P,P,P,A,A,A,P,P,P,A,P,P
2026-02-16,09:00-10:00,DSA (T),P,P,A,P,P,A,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,A,A,P
2026-02-16,10:30-12:30,DBMS (L),A,P,P,P,P,P,P,P,P,P,P,P,P,A,A,A,P,P,P,A,P,P,A,P,P,P,P
2026-02-16,13:15-15:15,EDI (L),P,A,A,P,P,P,P,A,P,A,P,P,P,P,A,P,P,P,P,P,P,P,A,P,A,P,P
2026-02-17,08:00-09:00,DSA (T),P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,A,P,A,A,P,P,P,A,P
2026-02-17,09:00-10:00,AS (T),P,P,A,A,A,P,P,A,A,P,P,P,P,P,P,P,P,A,P,P,A,P,A,P,P,P,P
2026-02-17,10:30-12:30,DSA (L),P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,A,P
2026-02-17,13:15-15:15,MLCT (L),P,P,P,A,P,P,P,P,A,A,P,P,A,P,A,P,P,P,P,P,P,P,A,P,P,P,A
2026-02-18,08:00-09:00,AS (T),P,A,A,P,P,P,P,P,A,P,A,P,P,A,A,P,P,P,P,A,P,P,P,P,A,P,P
2026-02-18,09:00-10:00,DBMS (T),P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P,A
2026-02-18,10:30-12:30,EDI (L),P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,A,P,A
2026-02-18,13:15-15:15,DBMS (L),P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,A,P,P,P,A,P,P,P,A,P,P
2026-02-19,08:00-09:00,DSA (T),P,P,A,P,P,A,P,P,A,P,P,P,P,A,P,A,P,P,A,P,A,A,P,P,P,P,P
2026-02-19,09:00-10:00,AS (T),P,P,P,A,P,A,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,A,P,P,A,A,P
2026-02-19,10:30-12:30,CTC (L),P,A,P,P,P,P,P,P,P,A,P,P,A,P,A,A,P,A,P,P,P,A,A,P,P,P,P
2026-02-19,13:15-15:15,DSA (L),P,P,P,A,P,P,P,P,A,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P
2026-02-20,08:00-09:00,DBMS (T),P,A,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,A,P,P,P,A,P,P,P,P,P
2026-02-20,09:00-10:00,DSA (T),P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,A,A,P,P,A,A,P,P,P,P,P,P
2026-02-20,10:30-12:30,DSA (L),P,P,P,P,A,P,A,P,A,A,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P
2026-02-20,13:15-15:15,DBMS (L),A,P,P,A,P,A,P,A,P,P,P,P,P,P,P,A,P,P,P,A,A,P,A,P,P,P,P
2026-02-23,08:00-09:00,DBMS (T),A,P,A,A,P,P,P,A,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,A
2026-02-23,09:00-10:00,DSA (T),P,P,P,A,A,P,P,P,A,A,P,P,P,P,P,A,A,P,P,P,A,P,A,P,P,P,P
2026-02-23,10:30-12:30,DBMS (L),P,P,P,P,A,P,P,A,P,P,P,P,A,P,A,A,P,A,P,P,P,P,P,P,P,A,A
2026-02-23,13:15-15:15,EDI (L),P,P,A,P,A,P,P,P,A,P,P,P,P,P,P,P,A,P,P,A,P,P,P,A,P,P,P
2026-02-24,08:00-09:00,DSA (T),A,P,P,P,P,P,P,P,A,A,A,P,P,P,P,P,A,P,A,P,P,A,P,P,P,A,P
2026-02-24,09:00-10:00,AS (T),P,P,P,P,A,P,P,P,P,P,A,A,P,P,A,A,P,A,P,P,A,P,P,P,A,P,P
2026-02-24,10:30-12:30,DSA (L),P,P,P,P,P,P,A,A,P,P,A,P,A,P,A,P,P,P,A,P,P,P,A,A,P,P,P
2026-02-24,13:15-15:15,MLCT (L),P,A,P,P,A,P,P,P,P,P,A,P,A,P,P,A,P,P,P,P,P,A,A,A,P,P,P
2026-02-25,08:00-09:00,AS (T),P,A,P,A,A,P,P,P,P,P,A,P,P,P,A,P,A,P,A,P,P,A,P,P,P,P,P
2026-02-25,09:00-10:00,DBMS (T),A,P,A,P,A,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P,A,P,P,A,A,P,P
2026-02-25,10:30-12:30,EDI (L),P,P,A,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,A,A,P,A,P,P,P,A
2026-02-25,13:15-15:15,DBMS (L),P,A,A,P,P,P,P,P,P,P,A,P,P,P,P,A,P,A,P,A,A,P,A,P,P,P,P
2026-02-26,08:00-09:00,DSA (T),P,P,A,P,P,P,P,A,P,A,P,P,P,A,P,P,P,P,P,P,A,A,P,P,P,P,P
2026-02-26,09:00-10:00,AS (T),P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,A,P,A,P,P
2026-02-26,10:30-12:30,CTC (L),A,A,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P
2026-02-26,13:15-15:15,DSA (L),P,P,P,P,A,P,P,A,P,P,P,A,P,A,P,P,A,P,P,P,P,P,P,P,A,P,A
2026-02-27,08:00-09:00,DBMS (T),P,P,A,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,A,P,P,A
2026-02-27,09:00-10:00,DSA (T),P,P,P,P,A,P,P,A,P,P,P,P,P,P,A,A,P,P,A,P,A,P,P,P,P,P,P
2026-02-27,10:30-12:30,DSA (L),A,P,P,P,P,P,P,P,A,A,P,P,P,P,A,P,P,A,P,P,P,A,P,P,P,P,A
2026-02-27,13:15-15:15,DBMS (L),P,P,A,P,P,P,P,P,P,A,P,A,P,P,A,P,P,P,A,P,A,P,P,P,P,P,P
2026-03-02,08:00-09:00,DBMS (T),P,P,P,A,P,P,A,P,A,A,P,P,A,P,A,A,P,P,P,P,P,P,A,P,P,P,P
2026-03-02,09:00-10:00,DSA (T),P,P,P,P,P,P,P,P,P,A,P,A,A,P,P,P,P,P,A,P,P,P,A,P,P,A,P
2026-03-02,10:30-12:30,DBMS (L),A,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,A
2026-03-02,13:15-15:15,EDI (L),P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,A,P,P,P,A,P,P,A
2026-03-03,08:00-09:00,DSA (T),P,P,P,P,P,P,A,A,P,P,P,A,P,P,P,P,P,P,P,A,A,P,P,P,P,A,P
2026-03-03,09:00-10:00,AS (T),P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,A,A,A,A
2026-03-03,10:30-12:30,DSA (L),P,A,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,A,P
2026-03-03,13:15-15:15,MLCT (L),P,P,A,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P
2026-03-04,08:00-09:00,AS (T),P,P,P,P,A,A,A,P,P,P,A,P,P,A,P,P,P,A,P,P,P,P,P,A,P,P,P
2026-03-04,09:00-10:00,DBMS (T),P,P,P,P,P,A,P,P,A,A,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A,P,A
2026-03-04,10:30-12:30,EDI (L),P,P,A,A,A,P,P,A,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,A,P
2026-03-04,13:15-15:15,DBMS (L),A,P,A,A,P,P,P,P,A,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,A,P
2026-03-05,08:00-09:00,DSA (T),P,P,P,P,P,P,P,P,A,P,P,A,A,P,P,P,P,P,A,P,P,A,P,A,P,A,A
2026-03-05,09:00-10:00,AS (T),A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,A,P,A,P,P,P,P,P
2026-03-05,10:30-12:30,CTC (L),P,P,A,P,P,P,P,A,P,A,P,P,P,P,A,P,P,P,P,A,A,P,P,P,A,P,P
2026-03-05,13:15-15:15,DSA (L),P,A,P,A,A,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,A,P,P,P,A,P,A
